mktrf,CH4_VMG,CH4_SMB,PMO,Year,Month
.1479,-.0083999997,-.0188,-.109,2000,1
.1197,-.072800003,.0165,-.0127,2000,2
.043200001,-.0049999999,.078500003,.079300001,2000,3
.016799999,.0243,-.0055999998,.027799999,2000,4
.022,.0206,.0185,-.0093,2000,5
.023399999,.055500001,.0088999998,.00079999998,2000,6
.043699998,.019300001,.0102,-.039299998,2000,7
-.0175,-.0147,.0207,.025900001,2000,8
-.055100001,-.0060000001,.0188,.0145,2000,9
.015699999,.0020000001,.0273,-.0096000005,2000,10
.0557,.019300001,.0126,.0118,2000,11
-.0088999998,.016899999,.018200001,.00079999998,2000,12
-.012,.022399999,.0031000001,.032699998,2001,1
-.057799999,.0359,-.0089999996,-.0115,2001,2
.067000002,-.0082,.0196,-.0076000001,2001,3
-.0137,-.0188,.0106,.0139,2001,4
.0255,-.017999999,.027799999,-.0037,2001,5
.0015,.020099999,.0152,.0414,2001,6
-.1345,-.0026,-.0015,.0020000001,2001,7
-.040600002,-.0098000001,.0074999998,.0065000001,2001,8
-.0451,.032499999,-.0153,.0077999998,2001,9
-.047699999,-.0046000001,-.017999999,-.0038000001,2001,10
.034600001,.0141,.021,.0218,2001,11
-.060800001,.053399999,-.0145,.0396,2001,12
-.099299997,.049199998,-.037799999,-.0040000002,2002,1
.021400001,.0038999999,.021500001,-.0041999999,2002,2
.055300001,-.0239,.022700001,.0149,2002,3
.038400002,-.0178,.0133,.0076000001,2002,4
-.086400002,-.0166,-.0113,-.00089999998,2002,5
.14229999,.0109,-.033,.031099999,2002,6
-.046,.0144,.0116,.0233,2002,7
.0073000002,.0065000001,-.0033,.0034,2002,8
-.054400001,.0065000001,-.0093,-.0037,2002,9
-.050000001,.0038999999,-.0096000005,-.0051000002,2002,10
-.0546,.0242,-.035100002,-.0065000001,2002,11
-.0535,.0063999998,-.0026,.0078999996,2002,12
.093599997,.0174,.0125,.044799998,2003,1
.0063,.001,.0093999999,.0126,2003,2
-.0040000002,.041499998,-.030300001,-.0049000001,2003,3
.0066999998,.070100002,-.058899999,-.0288,2003,4
.0414,.0046000001,-.0055999998,.00079999998,2003,5
-.061999999,.0295,-.0122,.030999999,2003,6
-.0060999999,.026000001,-.0341,-.0046000001,2003,7
-.0381,-.0086000003,.0094999997,.0112,2003,8
-.044100001,.0049000001,.0023000001,.0066,2003,9
-.0167,.094099998,-.048700001,.056299999,2003,10
.027799999,.0255,.0031000001,-.0198,2003,11
.0616,.1036,-.0722,.040600002,2003,12
.059599999,.0027999999,.036600001,.039299998,2004,1
.0605,-.0337,.0381,.0145,2004,2
.0361,.0296,.02,.021500001,2004,3
-.093599997,.039000001,.0034,.0083999997,2004,4
-.0266,-.0106,.0133,.0094999997,2004,5
-.102,.050700001,-.0295,.0049999999,2004,6
-.0034,.031500001,-.0105,.0035000001,2004,7
-.035599999,.048599999,-.0101,.032000002,2004,8
.045699999,.0383,.0049999999,-.0148,2004,9
-.054099999,.041200001,-.0081000002,.0184,2004,10
.0118,-.028999999,.039799999,.028100001,2004,11
-.0601,.055799998,-.020300001,.0339,2004,12
-.0616,.023800001,-.0142,-.0109,2005,1
.093400002,.0154,.017200001,-.0087000001,2005,2
-.0955,.0471,-.039000001,.029999999,2005,3
-.022500001,.072099999,-.053599998,-.0242,2005,4
-.084200002,-.046799999,.056499999,.029100001,2005,5
.02,.0493,-.0209,.0026,2005,6
.001,.081,-.077,-.035599999,2005,7
.0836,-.0438,.080899999,.0174,2005,8
-.0049000001,.029200001,.0305,.0136,2005,9
-.057500001,.018100001,-.0020999999,.037799999,2005,10
.0023000001,-.0062000002,.0148,.0263,2005,11
.060699999,.043699998,-.0469,.0065000001,2005,12
.086199999,-.0041999999,-.0077,.021,2006,1
.0361,-.0262,-.0167,.0265,2006,2
.0065000001,.017200001,-.0102,-.0285,2006,3
.1128,.0469,-.0107,-.0319,2006,4
.1603,-.081299998,.097000003,.075099997,2006,5
.025900001,.037500001,.047600001,-.0108,2006,6
-.068800002,-.0124,.042300001,.016899999,2006,7
.0394,-.0016,-.0071999999,.00039999999,2006,8
.046399999,-.0098000001,-.0063,.034400001,2006,9
.0265,.082800001,-.0359,.017100001,2006,10
.1463,.039900001,-.12639999,-.0111,2006,11
.1393,.061700001,-.0955,-.0184,2006,12
.13680001,.0146,.123,.077399999,2007,1
.065099999,-.059,.1181,-.086900003,2007,2
.1109,-.0115,.063900001,-.0222,2007,3
.2458,-.093000002,.069899999,-.1246,2007,4
.094099998,.00079999998,-.0091000004,.032000002,2007,5
-.092200004,.13349999,-.065300003,.1185,2007,6
.1761,-.031500001,.062600002,.0093,2007,7
.1516,.019200001,-.0449,.0111,2007,8
.061700001,.035100002,-.023499999,.0107,2007,9
.048300002,.1328,-.12720001,.1176,2007,10
-.15260001,.034200002,.1047,.0055999998,2007,11
.1186,-.0092000002,.087899998,.026799999,2007,12
-.15700001,-.015900001,.091399997,.0086000003,2008,1
.0229,.0080000004,.084100001,.0041,2008,2
-.1992,-.00039999999,.0017,.0155,2008,3
.046,.076300003,-.1048,-.044500001,2008,4
-.069300003,-.056400001,.031300001,.041099999,2008,5
-.2076,.040899999,-.052700002,.022700001,2008,6
.0165,-.0166,.080600001,.00069999998,2008,7
-.1516,.0416,-.079999998,.066299997,2008,8
-.0469,-.0416,-.050799999,.0185,2008,9
-.25470001,.044199999,-.0060000001,.0152,2008,10
.093699999,-.039099999,.108,.063100003,2008,11
-.021500001,.0337,.090899996,.0243,2008,12
.096500002,.0078999996,.0623,-.068700001,2009,1
.0491,-.043299999,.032400001,.032000002,2009,2
.1463,-.0092000002,.0726,-.038800001,2009,3
.041700002,.039299998,.033,.0104,2009,4
.060899999,-.0262,.0108,.031500001,2009,5
.1265,.025900001,-.081299998,.014,2009,6
.15549999,-.080799997,-.041000001,.044100001,2009,7
-.2182,.052099999,.086099997,-.015900001,2009,8
.045699999,.056600001,-.0068999999,.0309,2009,9
.082900003,.0041999999,.044100001,.0086000003,2009,10
.073100001,-.0060000001,.093999997,.022,2009,11
.022500001,.039299998,.026900001,.038800001,2009,12
-.089500003,-.0124,.0682,.0166,2010,1
.023,-.025,.038199998,-.00069999998,2010,2
.0149,.0116,.0228,.0020999999,2010,3
-.079099998,.00089999998,.0173,.057999998,2010,4
-.086999997,0,-.0033,-.0166,2010,5
-.074000001,.029899999,-.0173,.0173,2010,6
.1127,.0117,.049600001,-.0082999999,2010,7
.0178,-.039000001,.069700003,-.0173,2010,8
.0063999998,-.019300001,-.0117,-.0154,2010,9
.1239,.015699999,-.0473,-.053399999,2010,10
-.047200002,.0040000002,.0352,.1041,2010,11
-.0114,.039900001,-.016799999,-.0062000002,2010,12
-.0275,.042599998,-.0185,-.0102,2011,1
.0484,-.033599999,.052499998,.0026,2011,2
-.0059000002,.0163,-.0031000001,.0125,2011,3
-.0151,.021,-.024800001,-.0041,2011,4
-.064400002,.0106,-.0096000005,.0029,2011,5
.022700001,.0035999999,.0123,.0059000002,2011,6
-.0162,-.0068000001,.0254,.028999999,2011,7
-.048799999,.0074999998,.0178,.0097000003,2011,8
-.092200004,.036800001,-.026000001,.047699999,2011,9
.0403,.0104,0,-.0233,2011,10
-.054699998,.014,.0189,.0144,2011,11
-.073299997,.076800004,-.085600004,.033500001,2011,12
.024800001,.020099999,-.042599998,.0217,2012,1
.069700003,-.0309,.0579,.0092000002,2012,2
-.070299998,.0123,-.0059000002,.0283,2012,3
.0546,-.016799999,.015799999,.0284,2012,4
.00060000003,-.0068999999,.0099999998,-.0163,2012,5
-.052099999,.047499999,-.0108,.0097000003,2012,6
-.057599999,.049199998,-.035100002,-.0093999999,2012,7
-.0285,-.0083999997,.063199997,.023399999,2012,8
.0206,.0015,-.023600001,-.0035000001,2012,9
-.0122,.0059000002,.0125,.0244,2012,10
-.063500002,.036600001,-.048900001,-.015799999,2012,11
.15019999,-.0089999996,.0099999998,.0060000001,2012,12
.0493,.0073000002,.0165,.029999999,2013,1
0,.00060000003,.0319,.0275,2013,2
-.054900002,.0038000001,.0148,.040199999,2013,3
-.025,.0133,-.0066999998,.0049999999,2013,4
.0779,-.0383,.061000001,-.013,2013,5
-.1346,.035500001,-.022700001,-.0031000001,2013,6
.0265,-.0296,.035300002,-.036499999,2013,7
.049899999,.0097000003,.037799999,.028000001,2013,8
.0425,-.028899999,-.0041999999,-.0341,2013,9
-.0265,.054699998,.0088999998,.024900001,2013,10
.0418,-.027899999,.042800002,-.0044999998,2013,11
-.0458,.034000002,.0131,.0112,2013,12
-.023,-.048300002,.042199999,-.0132,2014,1
.0052999998,-.0115,.043000001,.028899999,2014,2
-.026900001,.049199998,.0086000003,.063100003,2014,3
-.0109,.019099999,-.0164,.0029,2014,4
.0106,-.032699998,.017000001,.021500001,2014,5
.021600001,-.0219,.028899999,.0086000003,2014,6
.077100001,.0188,.0027000001,.021500001,2014,7
.0119,-.0298,.0305,.031300001,2014,8
.069600001,-.033199999,.057300001,-.024499999,2014,9
.0154,.0264,.00030000001,-.0088999998,2014,10
.088299997,.047600001,-.028899999,-.037,2014,11
.1525,.1517,-.17200001,-.20190001,2014,12
.0044999998,-.024700001,.0515,.1134,2015,1
.043099999,-.0306,.0176,.0307,2015,2
.14920001,-.044599999,.087800004,.0106,2015,3
.1601,-.0091000004,-.0027999999,.0148,2015,4
.069899999,-.1028,.1841,.1275,2015,5
-.081200004,.0876,-.0372,.0074999998,2015,6
-.1461,.067100003,-.048799999,.040199999,2015,7
-.1381,.0198,.0015,.0080000004,2015,8
-.043099999,.022500001,.035399999,.0024999999,2015,9
.14390001,-.059500001,.0735,-.085699998,2015,10
.032400001,-.00039999999,.079000004,-.035,2015,11
.0317,.042100001,.038199998,.037099998,2015,12
-.2509,.059900001,-.048099998,.0792,2016,1
-.022,.0082999999,-.00039999999,.017100001,2016,2
.1452,-.00030000001,.056499999,-.070500001,2016,3
-.027100001,.0102,.018100001,.033,2016,4
-.0011,.015799999,-.0102,-.0041,2016,5
.0221,-.0082999999,.043200001,-.043699998,2016,6
.0115,.059599999,-.015900001,.086099997,2016,7
.037099998,-.0087000001,.0088999998,.021199999,2016,8
-.0254,.0208,.0106,.0011,2016,9
.024800001,-.0076000001,.0153,.0020999999,2016,10
.036400001,.0128,-.017899999,-.0052,2016,11
-.056499999,.0033,-.0014,-.0094999997,2016,12
.0070000002,.0285,-.033399999,-.027799999,2017,1
.028200001,.0034,.0099999998,.0185,2017,2
-.0083999997,.033599999,-.0101,-.0093,2017,3
-.022700001,.0469,-.041200001,-.019200001,2017,4
-.019099999,.0568,-.0579,-.0306,2017,5
.0414,.0266,-.0077999998,.023700001,2017,6
.024499999,.044799998,-.020300001,.0083999997,2017,7
.024800001,-.0228,-.0015,.018200001,2017,8
.0062000002,-.0077999998,.011,.00060000003,2017,9
.0135,.038199998,-.044,.046300001,2017,10
-.029300001,.037799999,-.038800001,-.0048000002,2017,11
-.0012000001,.0229,-.0178,-.0126,2017,12
.036600001,.066699997,-.067599997,-.016899999,2018,1
-.051899999,.0019,.00030000001,.0127,2018,2
-.0141,-.066600002,.048,.026900001,2018,3
-.0328,-.00039999999,-.0121,.0046000001,2018,4
.0027000001,.0449,-.0177,.020300001,2018,5
-.078900002,.037099998,-.034600001,-.0040000002,2018,6
.0089999996,.036600001,-.0089999996,.040800001,2018,7
-.058600001,.0071,-.0253,.0243,2018,8
.0229,.0309,-.032400001,-.0082,2018,9
-.089400001,.0255,-.0147,.017999999,2018,10
.0086000003,-.031599998,.0506,.022,2018,11
-.0416,.019400001,-.0024999999,.0244,2018,12
.0288,.063500002,-.051100001,.032600001,2019,1
.1574,-.0955,.056899998,-.0722,2019,2
.064400002,-.028100001,.046599999,.0051000002,2019,3
-.0133,.0306,-.024499999,.026000001,2019,4
-.063600004,.0035000001,.016899999,.037099998,2019,5
.031500001,.039799999,-.037999999,.0086000003,2019,6
-.0017,.0071,-.0308,.0118,2019,7
-.0077,-.0363,-.0074,-.033399999,2019,8
.0060999999,.0113,.0052999998,.0049000001,2019,9
.0111,.0135,-.021199999,.0068999999,2019,10
-.017999999,.018300001,-.0106,-.003,2019,11
.068599999,.0020999999,.0099999998,-.0041,2019,12
-.0070000002,-.0306,.0081000002,-.052700002,2020,1
-.0088999998,-.0372,.0112,-.0638,2020,2
-.062700003,.050799999,.0239,.076300003,2020,3
.050700001,.0038000001,-.037700001,-.0057000001,2020,4
.003,.0012000001,.0167,.00060000003,2020,5
.0801,.0103,-.017000001,-.020300001,2020,6
.126,.0076000001,.001,-.0207,2020,7
.0199,.017000001,.021400001,.0128,2020,8
-.0579,.011,-.021400001,-.0108,2020,9
.0086000003,.0124,-.0178,-.0352,2020,10
.036499999,.046300001,-.017999999,.0199,2020,11
.029899999,-.047200002,-.079899997,-.0276,2020,12
.0034,.033599999,-.090700001,-.0217,2021,1
-.0044,.064300001,.045499999,.0167,2021,2
-.029300001,.048700001,.0535,.0115,2021,3
.0177,-.041700002,-.0274,.029300001,2021,4
.050500002,-.033500001,.0073000002,-.014,2021,5
.0078999996,-.046,.022399999,.0139,2021,6
-.041000001,-.035399999,.049600001,-.0396,2021,7
.0285,.068000004,.0392,-.0044,2021,8
-.0035999999,.049400002,-.017000001,.050299998,2021,9
-.0027000001,-.043299999,-.025699999,.063000001,2021,10
.0196,-.037999999,.1149,.048500001,2021,11
.0101,.050700001,.031099999,.022399999,2021,12
